hashtag	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
votingrights	 1080844782	137.37	.42	.0030573	3	7	12	3925
onthisday	 1080844782	549.66	.14	.0002547	1	7	1	3925
covid19	 1094971056358637568	10.06	.20	.0198726	2	10	78	3925
omicron	 1094971056358637568	17.06	.10	.0058598	1	10	23	3925
longcovid	 1094971056358637568	4.46	.10	.0224203	1	10	88	3925
unsafeschools	 1094971056358637568	392.61	.10	.0002547	1	10	1	3925
nowarwithrussia	 1094971056358637568	98.12	.10	.0010191	1	10	4	3925
nowar	 1094971056358637568	87.22	.20	.0022929	2	10	9	3925
metoo	 1094971056358637568	98.12	.10	.0010191	1	10	4	3925
ba2	 1094971056358637568	56.07	.10	.0017834	1	10	7	3925
covid19	 1094971056358637568	10.06	.20	.0198726	2	10	78	3925
zerocovid	 1094971056358637568	130.83	.10	.0007643	1	10	3	3925
เจ้าแก้มก้อน	 1095523459877068800	278.68	.71	.0025477	5	7	10	3925
fluke_natouch	 1095523459877068800	109.90	.14	.0012738	1	7	5	3925
เจ้าแก้มก้อน	 1095523459877068800	278.68	.71	.0025477	5	7	10	3925
ไขมันของเจ้าแก้มก้อน	 1095523459877068800	549.55	.28	.0005095	2	7	2	3925
uwmaseries	 1095523459877068800	549.66	.14	.0002547	1	7	1	3925
เจ้าแก้มก้อน	 1095523459877068800	278.68	.71	.0025477	5	7	10	3925
ไขมันของเจ้าแก้มก้อน	 1095523459877068800	549.55	.28	.0005095	2	7	2	3925
covid19	 1096205507348623360	7.04	.14	.0198726	1	7	78	3925
votefordout2022	 1096205507348623360	36.63	.14	.0038216	1	7	15	3925
votethemallout2022	 1096205507348623360	42.26	.14	.0033121	1	7	13	3925
nevervoteconservative	 1096205507348623360	45.79	.14	.0030573	1	7	12	3925
flutruxklan	 1096205507348623360	91.58	.14	.0015286	1	7	6	3925
tinfoilofthemonth	 1096205507348623360	549.66	.14	.0002547	1	7	1	3925
bcpoli	 1096205507348623360	61.05	.14	.0022929	1	7	9	3925
wetvxohmfluke	 1098819491780153345	78.50	.10	.0012738	1	10	5	3925
609bedtimestory	 1098819491780153345	98.12	.10	.0010191	1	10	4	3925
เจ้าแก้มก้อน	 1098819491780153345	157.00	.40	.0025477	4	10	10	3925
fluke_natouch	 1098819491780153345	235.51	.30	.0012738	3	10	5	3925
เจ้าแก้มก้อน	 1098819491780153345	157.00	.40	.0025477	4	10	10	3925
เจ้าแก้มก้อน	 1098819491780153345	157.00	.40	.0025477	4	10	10	3925
fluke_natouch	 1098819491780153345	235.51	.30	.0012738	3	10	5	3925
เจ้าแก้มก้อน	 1098819491780153345	157.00	.40	.0025477	4	10	10	3925
fluke_natouch	 1098819491780153345	235.51	.30	.0012738	3	10	5	3925
loveat9q22	 1098819491780153345	392.61	.10	.0002547	1	10	1	3925
lemmmmmmrip	 1108565574	26.16	.08	.0030573	2	23	12	3925
auspol	 1108565574	2.77	.13	.0468789	3	23	184	3925
alboforpm	 1108565574	3.34	.04	.0119745	1	23	47	3925
abc730	 1108565574	26.16	.04	.0015286	1	23	6	3925
scottydoesntgivearats	 1108565574	52.33	.04	.0007643	1	23	3	3925
auspol	 1108565574	2.77	.13	.0468789	3	23	184	3925
auspol	 1108565574	2.77	.13	.0468789	3	23	184	3925
morrison	 1108565574	6.03	.04	.0066242	1	23	26	3925
votethemallout2022	 1108565574	12.07	.04	.0033121	1	23	13	3925
livingwithcovid	 1108565574	52.33	.04	.0007643	1	23	3	3925
living	 1108565574	39.25	.08	.0020382	2	23	8	3925
lemmmmmmrip	 1108565574	26.16	.08	.0030573	2	23	12	3925
oz	 1108565574	31.40	.04	.0012738	1	23	5	3925
taxpayer	 1108565574	78.50	.04	.0005095	1	23	2	3925
warfare	 1108565574	157.04	.04	.0002547	1	23	1	3925
schools	 1108565574	19.62	.04	.0020382	1	23	8	3925
lnpdisgrace	 1108565574	15.70	.04	.0025477	1	23	10	3925
insiders	 1108565574	10.46	.04	.0038216	1	23	15	3925
scottydoesnothing	 1108565574	52.33	.04	.0007643	1	23	3	3925
scottythesoooooobag	 1108565574	52.33	.04	.0007643	1	23	3	3925
lnpcorruptionparty	 1108565574	8.72	.04	.0045859	1	23	18	3925
scottythepathologicalliar	 1108565574	11.21	.04	.0035668	1	23	14	3925
ausvotes	 1108565574	4.75	.04	.0084076	1	23	33	3925
agedcare	 1113341312	157.01	.20	.0012738	1	5	5	3925
healthcare	 1113341312	87.22	.20	.0022929	1	5	9	3925
religiousdiscriminationbill	 1113341312	261.67	.20	.0007643	1	5	3	3925
auspol	 1113341312	8.53	.40	.0468789	2	5	184	3925
auspol	 1113341312	8.53	.40	.0468789	2	5	184	3925
loveat9q18	 1117704370630455296	981.54	.25	.0002547	1	4	1	3925
introductionloveat9	 1117704370630455296	490.67	.25	.0005095	1	4	2	3925
โอห์มฟลุ้คฟีเวอร์2021	 1117704370630455296	392.52	.50	.0012738	2	4	5	3925
โอห์มฟลุ้คฟีเวอร์2021	 1117704370630455296	392.52	.50	.0012738	2	4	5	3925
nyc	 1120633726478823425	49.06	.05	.0010191	1	19	4	3925
zelensky	 1120633726478823425	30.19	.10	.0033121	2	19	13	3925
kiew	 1120633726478823425	196.30	.05	.0002547	1	19	1	3925
ukraine	 1120633726478823425	11.52	.47	.0407643	9	19	160	3925
ukrainerussiawar	 1120633726478823425	65.41	.05	.0007643	1	19	3	3925
russia	 1120633726478823425	7.45	.15	.0201273	3	19	79	3925
ukraine	 1120633726478823425	11.52	.47	.0407643	9	19	160	3925
ukraine	 1120633726478823425	11.52	.47	.0407643	9	19	160	3925
tbilisi	 1120633726478823425	196.30	.05	.0002547	1	19	1	3925
georgia	 1120633726478823425	196.30	.05	.0002547	1	19	1	3925
ukraine	 1120633726478823425	11.52	.47	.0407643	9	19	160	3925
zelensky	 1120633726478823425	30.19	.10	.0033121	2	19	13	3925
ukrainian	 1120633726478823425	16.35	.05	.0030573	1	19	12	3925
standwithukraine️	 1120633726478823425	32.70	.05	.0015286	1	19	6	3925
longliveukraine	 1120633726478823425	98.13	.05	.0005095	1	19	2	3925
stoprussia	 1120633726478823425	28.03	.05	.0017834	1	19	7	3925
